tld,type,punycode,language_code,translation,romanized,rtl,sponsor,registrar,registrar_name,registrar_web,price_new,price_renew,price_transfer,currency,updated_time
best,gTLD,,,,,no,BestTLD Pty Ltd,encirca,EnCirca,https://www.encirca.com/,25,12.5,25,usd,2025-01-01 15:03:34
bet,gTLD,,,,,no,Afilias Limited,porkbun,porkbun,https://porkbun.com/,8.03,17.82,17.82,usd,2025-01-01 14:55:21
bf,ccTLD,,,,,no,ARCE-AutoritÈ de RÈgulation des Communications Electroniques,domgate,domgate,https://domgate.com/,50,50.0,50,eur,2025-01-01 15:01:39
bg,ccTLD,,,,,no,Register.BG,domgate,domgate,https://domgate.com/,34,34.0,34,eur,2025-01-01 15:01:39
bh,ccTLD,,,,,no,Telecommunications Regulatory Authority (TRA),porkbun,porkbun,https://porkbun.com/,41.29,41.29,41.29,usd,2025-01-01 14:55:21
bi,ccTLD,,,,,no,Centre National de l'Informatique,quyu,趣域网,https://www.quyu.net/,198,198.0,198,cny,2025-01-01 14:47:38
bible,gTLD,,,,,no,American Bible Society,porkbun,porkbun,https://porkbun.com/,40.66,41.88,40.99,usd,2025-01-01 14:55:21
bid,gTLD,,,,,no,dot Bid Limited,domaincom,Domain.com,https://www.domain.com/,2.99,4.99,n/a,usd,2024-11-01 19:05:30
bike,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.22,26.24,26.24,usd,2025-01-01 14:55:21
bingo,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,8.22,39.63,39.63,usd,2025-01-01 14:55:21
bio,gTLD,,,,,no,Afilias Limited,tencent,腾讯云,https://cloud.tencent.com/,43,385.0,385,cny,2024-11-01 19:20:20
biz,grTLD,,,,,no,"Registry Services, LLC",spaceship,Spaceship,https://www.spaceship.com/,4.65,13.4,13.4,usd,2024-10-24 10:36:51
bj,ccTLD,,,,,no,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN),afriregister,Afriregister,https://www.afriregister.com/,18.02,18.02,0,eur,2025-01-01 15:01:05
black,gTLD,,,,,no,Afilias Limited,huawei,华为云,https://www.huaweicloud.com/,108,320.0,320,cny,2025-01-01 14:53:00
blackfriday,gTLD,,,,,no,"Registry Services, LLC",porkbun,porkbun,https://porkbun.com/,103.48,103.48,103.48,usd,2025-01-01 14:55:21
blog,gTLD,,,,,no,"Knock Knock WHOIS There, LLC",rebel,Rebel,https://www.rebel.com/,7.99,7.99,n/a,usd,2025-01-01 14:58:17
blue,gTLD,,,,,no,Afilias Limited,porkbun,porkbun,https://porkbun.com/,11.82,15.94,15.94,usd,2025-01-01 14:55:21
bm,ccTLD,,,,,no,"Registry General Department, Ministry of Home Affairs",regery,Regery,https://regery.com/,132.99,89.99,89.99,usd,2024-09-11 10:54:05
bn,ccTLD,,,,,no,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),gandi,gandi.net,https://www.gandi.net/,2234.5,3751.98,2234.5,eur,2025-01-01 15:04:05
